,9043071	Rick Wilson	Alberta	West	Corporate,40732966	Tamara Dahlen	Ontario	Ontario	Corporate
895,93242448	Katherine Nockton	Ontario	Ontario	Corporate,
896,59254130	Grant Carroll	Northwest Territories	Northwest Territories	Small Business,
897,81884459	Becky Castell	Northwest Territories	Northwest Territories	Consumer,
898,9995389	Emily Phan	Quebec	Quebec	Consumer,
899,81950874	Steven Cartwright	Manitoba	Prarie	Home Office,
900,83294535	Jack Lebron	Northwest Territories	Northwest Territories	Corporate,
901,9089368	Maris LaWare	Yukon	Yukon	Home Office,
902,52197137	Liz Pelletier	Alberta	West	Corporate,
903,78858148	Michelle Lonsdale	Nunavut	Nunavut	Home Office,
904,19029328	Gary Hwang	Manitoba	Prarie	Home Office,
905,9576347	Michael Oakman	Quebec	Quebec	Small Business,
906,37216054	Dean Katz	Yukon	Yukon	Home Office,
907,68723117	Sally Knutson	British Columbia	West	Small Business,
908,66316082	Karen Ferguson	Quebec	Quebec	Corporate,
909,59862529	Keith Herrera	Quebec	Quebec	Corporate,
910,99168275	Theone Pippenger	Manitoba	Prarie	Corporate,
911,35573893	Nora Paige	Nova Scotia	Atlantic	Consumer,
912,31768137	Gene McClure	Ontario	Ontario	Consumer,
913,12055977	Tracy Zic	Manitoba	Prarie	Consumer,
914,30238656	Peter Fuller	Saskachewan	Prarie	Corporate,
915,34181262	Andrew Roberts	Alberta	West	Home Office,
916,57657373	Laura Armstrong	Ontario	Ontario	Corporate,
917,29595885	Cari Sayre	Ontario	Ontario	Home Office,
918,39521873	Sally Knutson	British Columbia	West	Home Office,
919,11861127	Tracy Collins	Manitoba	Prarie	Consumer,
920,15499743	Vivian Mathis	Quebec	Quebec	Consumer,
921,19529123	Steven Roelle	Ontario	Ontario	Small Business,
922,34136970	Erin Mull	New Brunswick	Atlantic	Small Business,
923,38671459	Michael Moore	Manitoba	Prarie	Corporate,
924,41718644	Mick Brown	Yukon	Yukon	Consumer,
925,18262264	Bradley Nguyen	Quebec	Quebec	Corporate,
926,19477891	Brendan Dodson	Northwest Territories	Northwest Territories	Corporate,
927,10250297	Vivian Mathis	Quebec	Quebec	Corporate,
928,23920877	Kean Takahito	Saskachewan	Prarie	Home Office,
929,91212283	Brooke Gillingham	Alberta	West	Small Business,
930,13019151	Jamie Kunitz	Northwest Territories	Northwest Territories	Corporate,
931,105800553	Brian Stugart	Nova Scotia	Atlantic	Consumer,
932,28227347	Jay Kimmel	Ontario	Ontario	Small Business,
933,62872976	Peter Buhler	Yukon	Yukon	Consumer,
934,24699845	Philip Brown	Ontario	Ontario	Home Office,
935,13117414	Julia West	Nunavut	Nunavut	Corporate,
936,17497455	Jamie Frazer	Manitoba	Prarie	Small Business,
937,53726389	Joy Smith	Manitoba	Prarie	Corporate,
938,89379992	Lauren Leatherbury	Alberta	West	Home Office,
939,100787002	Liz Willingham	Quebec	Quebec	Corporate,
940,27000509	Mark Van Huff	Saskachewan	Prarie	Home Office,
941,55591849	Sanjit Jacobs	British Columbia	West	Consumer,
942,73634331	Philip Brown	Prince Edward Island	Atlantic	Home Office,
943,97666712	Giulietta Weimer	Nova Scotia	Atlantic	Corporate,
944,15610164	Ricardo Emerson	British Columbia	West	Corporate,
945,29012034	Theresa Swint	Manitoba	Prarie	Consumer,
946,23188468	Edward Hooks	Northwest Territories	Northwest Territories	Consumer,
947,19652649	Trudy Schmidt	British Columbia	West	Small Business,
948,85623474	Michael Oakman	Nova Scotia	Atlantic	Small Business,
949,98456564	George Zrebassa	Nova Scotia	Atlantic	Home Office,
950,73091440	Bill Shonely	Yukon	Yukon	Small Business,
951,13888154	Ken Heidel	British Columbia	West	Corporate,
952,103383612	Maria Bertelson	Manitoba	Prarie	Home Office,
953,31708946	Suzanne McNair	Saskachewan	Prarie	Corporate,
954,13258267	Maureen Gastineau	Newfoundland	Atlantic	Consumer,
955,99519941	Rob Williams	Yukon	Yukon	Home Office,
956,38922248	Brad Thomas	British Columbia	West	Home Office,
957,14741565	Janet Martin	Ontario	Ontario	Corporate,
958,86724665	Matt Hagelstein	Ontario	Ontario	Home Office,
959,74751086	Elizabeth Moffitt	British Columbia	West	Consumer,
960,70121056	Jason Klamczynski	Quebec	Quebec	Home Office,
961,68005331	Eric Barreto	British Columbia	West	Consumer,
962,57458136	John Dryer	Saskachewan	Prarie	Corporate,
963,2907098	Roland Murray	Alberta	West	Home Office,
964,90398325	Alan Schoenberger	Yukon	Yukon	Corporate,
965,74374530	Katherine Hughes	New Brunswick	Atlantic	Consumer,
966,8807770	Frank Merwin	Alberta	West	Corporate,
967,45209405	Cynthia Voltz	Yukon	Yukon	Corporate,
968,38342784	Ralph Arnett	Northwest Territories	Northwest Territories	Consumer,
969,76068895	Denise Leinenbach	Quebec	Quebec	Home Office,
970,22856565	Rick Duston	Newfoundland	Atlantic	Corporate,
971,39765174	Robert Waldorf	Ontario	Ontario	Home Office,
972,24286812	Annie Thurman	Ontario	Ontario	Home Office,
973,27185389	Karl Brown	Ontario	Ontario	Corporate,
974,52287358	Muhammed Lee	Yukon	Yukon	Corporate,
975,45783303	Michael Stewart	British Columbia	West	Small Business,
976,99605711	Arthur Gainer	Manitoba	Prarie	Consumer,
977,39007820	Emily Phan	New Brunswick	Atlantic	Consumer,
978,26871525	Giulietta Dortch	Nova Scotia	Atlantic	Consumer,
979,57411052	Justin Deggeller	New Brunswick	Atlantic	Corporate,
980,104853129	Janet Molinari	Ontario	Ontario	Corporate,
981,92552035	David Philippe	Ontario	Ontario	Consumer,
982,10128489	Harold Engle	Prince Edward Island	Atlantic	Consumer,
983,59074343	Philisse Overcash	Nova Scotia	Atlantic	Small Business,
984,38978375	Adrian Hane	Nunavut	Nunavut	Corporate,
985,19762901	Hallie Redmond	Ontario	Ontario	Small Business,
986,82716098	Ken Dana	Alberta	West	Small Business,
987,43389672	Sarah Brown	Saskachewan	Prarie	Consumer,
988,15239298	Sean Wendt	British Columbia	West	Corporate,
989,28822817	Nicole Hansen	Northwest Territories	Northwest Territories	Corporate,
990,12964455	Tamara Willingham	British Columbia	West	Home Office,
991,35540504	Khloe Miller	British Columbia	West	Home Office,
992,100500169	Joe Kamberova	Ontario	Ontario	Small Business,
993,56320053	Kristen Hastings	Ontario	Ontario	Small Business,
994,97099813	Sally Matthias	Nova Scotia	Atlantic	Corporate,
995,15643761	Suzanne McNair	Saskachewan	Prarie	Small Business,
996,94206076	Anthony Witt	Ontario	Ontario	Corporate,
997,103104706	Sonia Cooley	Alberta	West	Corporate,
998,45612560	Christopher Conant	Alberta	West	Consumer,
999,54177895	Greg Guthrie	Manitoba	Prarie	Small Business,
1000,56692640	Tonja Turnell	Alberta	West	Consumer,
1001,89108177	Brenda Bowman	Quebec	Quebec	Home Office,
1002,82953034	Benjamin Venier	Yukon	Yukon	Small Business,
1003,89722082	Speros Goranitis	Yukon	Yukon	Corporate,
1004,7834765	Lisa DeCherney	Ontario	Ontario	Corporate,
1005,54085164	Rick Bensley	Manitoba	Prarie	Consumer,
1006,35074595	Harold Engle	Manitoba	Prarie	Home Office,
1007,15368315	David Kendrick	Yukon	Yukon	Home Office,
1008,77951322	Debra Catini	Nova Scotia	Atlantic	Small Business,
1009,51561429	Muhammed Yedwab	Newfoundland	Atlantic	Consumer,
1010,94228765	Lycoris Saunders	Ontario	Ontario	Corporate,
1011,83042763	Dean Katz	British Columbia	West	Home Office,
1012,63444550	Darren Budd	Yukon	Yukon	Home Office,
1013,70909580	Stefanie Holloman	Manitoba	Prarie	Small Business,
1014,73763693	Deanra Eno	Quebec	Quebec	Corporate,
1015,95436894	Peter Fuller	Saskachewan	Prarie	Consumer,
1016,67831942	Astrea Jones	Newfoundland	Atlantic	Corporate,
1017,55459419	Michelle Ellison	Ontario	Ontario	Consumer,
1018,5091209	Christina Anderson	Saskachewan	Prarie	Corporate,
1019,103492523	Mary Zewe	Manitoba	Prarie	Corporate,
1020,24239354	Dan Campbell	British Columbia	West	Small Business,
1021,39250329	Grant Donatelli	Ontario	Ontario	Consumer,
1022,82163884	Tanja Norvell	Nova Scotia	Atlantic	Consumer,
1023,82151975	Ivan Liston	Nova Scotia	Atlantic	Consumer,
1024,47933319	Bobby Trafton	Newfoundland	Atlantic	Small Business,
1025,55462305	Ricardo Block	Yukon	Yukon	Corporate,
1026,33584987	John Castell	Nova Scotia	Atlantic	Consumer,
1027,103116846	Grant Carroll	Northwest Territories	Northwest Territories	Corporate,
1028,40253199	Mick Brown	Alberta	West	Consumer,
1029,74001204	Roy Skaria	Northwest Territories	Northwest Territories	Corporate,
1030,70860081	Harold Pawlan	Alberta	West	Small Business,
1031,91774159	Astrea Jones	Yukon	Yukon	Corporate,
1032,55010642	Dave Kipp	Yukon	Yukon	Corporate,
1033,97049232	Vivek Sundaresam	Quebec	Quebec	Home Office,
1034,46851405	Corey Roper	Newfoundland	Atlantic	Small Business,
1035,57583255	Matt Connell	Ontario	Ontario	Corporate,
1036,40872584	Elizabeth Moffitt	Quebec	Quebec	Consumer,
1037,90958961	Joy Smith	British Columbia	West	Consumer,
1038,33357299	Jack Lebron	British Columbia	West	Corporate,
1039,65592088	Mick Crebagga	Manitoba	Prarie	Home Office,
1040,1720138	Juliana Krohn	British Columbia	West	Small Business,
1041,3724839	Brian Stugart	Yukon	Yukon	Corporate,
1042,31043562	Barry Pond	Yukon	Yukon	Consumer,
1043,60814472	Karen Carlisle	British Columbia	West	Corporate,
1044,54281706	Juliana Krohn	Yukon	Yukon	Corporate,
1045,71445870	Tony Chapman	British Columbia	West	Consumer,
1046,33663686	Cyra Reiten	Yukon	Yukon	Consumer,
1047,10756558	Frank Carlisle	Ontario	Ontario	Small Business,
1048,51305287	Charlotte Melton	Northwest Territories	Northwest Territories	Home Office,
1049,103996019	Lindsay Castell	Alberta	West	Small Business,
1050,83738891	Frank Hawley	Ontario	Ontario	Home Office,
1051,28718928	Ken Lonsdale	New Brunswick	Atlantic	Consumer,
1052,70664347	Shui Tom	Alberta	West	Home Office,
1053,18436824	Nora Paige	Newfoundland	Atlantic	Small Business,
1054,83808705	Adam Shillingsburg	Alberta	West	Corporate,
1055,56602296	Harry Marie	Manitoba	Prarie	Consumer,
1056,61248797	Cynthia Arntzen	Saskachewan	Prarie	Home Office,
1057,107541916	Ivan Gibson	Ontario	Ontario	Corporate,
1058,30535909	Filia McAdams	Prince Edward Island	Atlantic	Small Business,
1059,71841102	Philisse Overcash	British Columbia	West	Small Business,
1060,73918793	Becky Martin	Ontario	Ontario	Home Office,
1061,9193847	Lycoris Saunders	Ontario	Ontario	Home Office,
1062,67300487	Giulietta Dortch	Yukon	Yukon	Small Business,
1063,11405224	Dean Percer	New Brunswick	Atlantic	Consumer,
1064,37204966	Patrick Bzostek	Ontario	Ontario	Consumer,
1065,12756390	Dario Medina	Yukon	Yukon	Small Business,
1066,91977284	Roy Skaria	Manitoba	Prarie	Corporate,
1067,55460332	Julie Prescott	Ontario	Ontario	Home Office,
1068,59040054	Giulietta Dortch	Quebec	Quebec	Consumer,
1069,16475482	Brian Stugart	Yukon	Yukon	Consumer,
1070,78357289	Carl Ludwig	Nunavut	Nunavut	Corporate,
1071,24845242	Paul Knutson	Nova Scotia	Atlantic	Corporate,
1072,29172730	Susan Vittorini	Northwest Territories	Northwest Territories	Home Office,
1073,49397035	Rick Hansen	Saskachewan	Prarie	Home Office,
1074,28399266	Quincy Jones	Yukon	Yukon	Corporate,
1075,16921475	Robert Barroso	Quebec	Quebec	Small Business,
1076,54537998	Joe Elijah	Manitoba	Prarie	Home Office,
1077,93460140	Maureen Gastineau	British Columbia	West	Consumer,
1078,42985416	Tom Prescott	Alberta	West	Small Business,
1079,30809672	Maribeth Schnelling	Manitoba	Prarie	Corporate,
1080,34167695	Harold Dahlen	Nova Scotia	Atlantic	Corporate,
1081,38554560	Nicole Hansen	Nunavut	Nunavut	Small Business,
1082,57437214	Barry Weirich	Yukon	Yukon	Corporate,
1083,69504145	Katrina Willman	New Brunswick	Atlantic	Consumer,
1084,87126998	Bradley Drucker	Yukon	Yukon	Small Business,
1085,60748072	Daniel Lacy	Alberta	West	Small Business,
1086,78116987	Eugene Barchas	Northwest Territories	Northwest Territories	Corporate,
1087,43761129	Jim Sink	Prince Edward Island	Atlantic	Corporate,
1088,87531847	Paul Stevenson	Saskachewan	Prarie	Corporate,
1089,61997425	Katherine Nockton	Ontario	Ontario	Home Office,
1090,32734260	Ivan Liston	Yukon	Yukon	Consumer,
1091,89810498	Katherine Nockton	Quebec	Quebec	Home Office,
1092,58914971	Katrina Willman	Quebec	Quebec	Consumer,
1093,26814362	Erica Bern	Prince Edward Island	Atlantic	Small Business,
1094,8444931	Denise Leinenbach	Nova Scotia	Atlantic	Corporate,
1095,80406839	Dan Campbell	British Columbia	West	Corporate,
1096,99034135	Eleni McCrary	Nova Scotia	Atlantic	Home Office,
1097,50446311	Bill Overfelt	Ontario	Ontario	Corporate,
1098,65383349	Christy Brittain	Nova Scotia	Atlantic	Consumer,
1099,64317679	Hallie Redmond	Ontario	Ontario	Home Office,
1100,100464058	Jennifer Patt	Nova Scotia	Atlantic	Home Office,
1101,61047485	Grant Carroll	Nunavut	Nunavut	Small Business,
1102,6669395	Eugene Moren	Saskachewan	Prarie	Home Office,
1103,70969686	Jennifer Braxton	Manitoba	Prarie	Small Business,
1104,95501313	Berenike Kampe	British Columbia	West	Corporate,
1105,37723659	David Kendrick	Quebec	Quebec	Home Office,
1106,38157437	Mary O'Rourke	Manitoba	Prarie	Home Office,
1107,71256328	Deanra Eno	Ontario	Ontario	Corporate,
1108,18255550	Debra Catini	Quebec	Quebec	Small Business,
1109,92823303	Chris Cortes	Nova Scotia	Atlantic	Consumer,
1110,27064579	Steven Roelle	Alberta	West	Small Business,
1111,44637256	Maria Bertelson	Ontario	Ontario	Corporate,
1112,95937020	Thomas Thornton	British Columbia	West	Consumer,
1113,30755819	Paul Van Hugh	Yukon	Yukon	Corporate,
1114,64666110	Eric Hoffmann	Manitoba	Prarie	Small Business,
1115,34481830	Andrew Gjertsen	Nunavut	Nunavut	Consumer,
1116,25961578	Jack Garza	Manitoba	Prarie	Corporate,
1117,51916993	Eleni McCrary	Newfoundland	Atlantic	Corporate,
1118,72796983	Yana Sorensen	Yukon	Yukon	Corporate,
1119,40499981	Bobby Elias	Nova Scotia	Atlantic	Small Business,
1120,40880095	Shirley Jackson	Nova Scotia	Atlantic	Corporate,
1121,72908273	Khloe Miller	British Columbia	West	Consumer,
1122,84599405	Joel Jenkins	Ontario	Ontario	Corporate,
1123,26729175	Bruce Stewart	New Brunswick	Atlantic	Corporate,
1124,35250192	Deborah Brumfield	Manitoba	Prarie	Small Business,
1125,12027757	Brad Thomas	British Columbia	West	Corporate,
1126,107565533	Liz MacKendrick	New Brunswick	Atlantic	Corporate,
1127,25793349	Lena Cacioppo	Quebec	Quebec	Home Office,
1128,59398695	Dave Poirier	Quebec	Quebec	Small Business,
1129,9175306	Mick Hernandez	Ontario	Ontario	Home Office,
1130,38059837	Julia West	Northwest Territories	Northwest Territories	Home Office,
1131,31353881	Jason Fortune	Ontario	Ontario	Corporate,
1132,42995013	Anna Haberlin	Ontario	Ontario	Corporate,
1133,102946420	Michelle Huthwaite	Ontario	Ontario	Home Office,
1134,29648423	Christy Brittain	Newfoundland	Atlantic	Consumer,
1135,91220663	Aaron Hawkins	Quebec	Quebec	Home Office,
1136,31645785	Clytie Kelty	Ontario	Ontario	Small Business,
1137,63405025	Ed Braxton	Yukon	Yukon	Consumer,
1138,14565933	Matt Abelman	British Columbia	West	Small Business,
1139,43339092	Christine Abelman	New Brunswick	Atlantic	Corporate,
1140,19847319	Bart Folk	Yukon	Yukon	Corporate,
1141,57830169	Shirley Jackson	Quebec	Quebec	Corporate,
1142,23436088	Brendan Sweed	New Brunswick	Atlantic	Consumer,
1143,69372586	Darren Budd	Yukon	Yukon	Consumer,
1144,47232636	Logan Currie	Manitoba	Prarie	Small Business,
1145,81751203	Bobby Trafton	Nova Scotia	Atlantic	Corporate,
1146,33115230	Nora Price	Quebec	Quebec	Small Business,
1147,69136105	Hallie Redmond	Manitoba	Prarie	Small Business,
1148,95177343	John Castell	British Columbia	West	Small Business,
1149,85212736	Tim Taslimi	Yukon	Yukon	Corporate,
1150,28030760	Michael Granlund	Nova Scotia	Atlantic	Corporate,
1151,57117060	Sarah Jordon	British Columbia	West	Consumer,
1152,86434424	Christy Brittain	Yukon	Yukon	Consumer,
1153,12193437	Corey Lock	Quebec	Quebec	Home Office,
1154,50645676	Daniel Lacy	British Columbia	West	Small Business,
1155,35731448	Roland Murray	Manitoba	Prarie	Home Office,
1156,100582712	Scot Wooten	Manitoba	Prarie	Corporate,
1157,91967987	Barry Pond	British Columbia	West	Consumer,
1158,47505924	Sara Luxemburg	Yukon	Yukon	Small Business,
1159,92238400	Lisa DeCherney	Ontario	Ontario	Consumer,
1160,64312175	Michelle Ellison	Ontario	Ontario	Small Business,
1161,88337390	Andrew Roberts	Ontario	Ontario	Small Business,
1162,28062620	Michael Granlund	Manitoba	Prarie	Home Office,
1163,85700248	Theone Pippenger	British Columbia	West	Corporate,
1164,66129254	Carlos Daly	Nunavut	Nunavut	Home Office,
1165,14033736	Alan Schoenberger	British Columbia	West	Corporate,
1166,11409165	Jim Karlsson	British Columbia	West	Small Business,
1167,90522445	Evan Henry	Quebec	Quebec	Corporate,
1168,101448325	Jennifer Patt	Newfoundland	Atlantic	Home Office,
1169,98760164	Nathan Cano	British Columbia	West	Consumer,
1170,79708464	Corey Catlett	British Columbia	West	Home Office,
1171,94752834	Karl Brown	Newfoundland	Atlantic	Home Office,
1172,22998376	Richard Bierner	Saskachewan	Prarie	Small Business,
1173,29343671	Emily Grady	British Columbia	West	Home Office,
1174,34037705	Pauline Johnson	New Brunswick	Atlantic	Corporate,
1175,54637428	Cynthia Voltz	Newfoundland	Atlantic	Corporate,
1176,80476389	Muhammed MacIntyre	Nunavut	Nunavut	Small Business,
1177,61800710	Ken Brennan	Ontario	Ontario	Consumer,
1178,87094459	David Kendrick	Nova Scotia	Atlantic	Home Office,
1179,69737688	Darren Budd	Quebec	Quebec	Corporate,
1180,20864775	Cindy Stewart	Yukon	Yukon	Consumer,
1181,35264587	Craig Yedwab	Newfoundland	Atlantic	Corporate,
1182,17118153	Vivek Grady	Ontario	Ontario	Corporate,
1183,107508523	Jill Fjeld	Yukon	Yukon	Home Office,
1184,41191887	Alyssa Crouse	Alberta	West	Corporate,
1185,43820994	Doug O'Connell	British Columbia	West	Small Business,
1186,66098717	Anthony Johnson	Northwest Territories	Northwest Territories	Small Business,
1187,45730635	Frank Price	Nunavut	Nunavut	Corporate,
1188,97685640	Sara Luxemburg	Yukon	Yukon	Corporate,
1189,109724217	Bradley Drucker	Quebec	Quebec	Small Business,
1190,34725205	Beth Thompson	Prince Edward Island	Atlantic	Corporate,
1191,25162682	Sam Zeldin	Ontario	Ontario	Small Business,
1192,20434205	Raymond Fair	Ontario	Ontario	Small Business,
1193,55544129	Penelope Sewall	Alberta	West	Home Office,
1194,97606910	Daniel Lacy	Quebec	Quebec	Small Business,
1195,74561513	Georgia Rosenberg	Alberta	West	Consumer,
1196,31234599	Brendan Dodson	Prince Edward Island	Atlantic	Corporate,
1197,94607246	Pete Kriz	British Columbia	West	Corporate,
1198,100045626	Tom Ashbrook	Yukon	Yukon	Home Office,
1199,9854609	Julia West	Northwest Territories	Northwest Territories	Corporate,
1200,15836964	Jennifer Ferguson	Quebec	Quebec	Corporate,
1201,24482846	Quincy Jones	New Brunswick	Atlantic	Corporate,
1202,40929835	Eugene Moren	British Columbia	West	Home Office,
1203,62950076	Michael Nguyen	Ontario	Ontario	Small Business,
1204,97800678	Ashley Jarboe	Saskachewan	Prarie	Small Business,
1205,58302349	Pete Takahito	Quebec	Quebec	Corporate,
1206,50169727	Tracy Hopkins	Saskachewan	Prarie	Small Business,
1207,80914914	Anthony Johnson	British Columbia	West	Small Business,
1208,4510648	Anne McFarland	British Columbia	West	Consumer,
1209,107249296	Helen Wasserman	Quebec	Quebec	Corporate,
1210,17356345	Tom Prescott	Yukon	Yukon	Small Business,
1211,40876754	Julia West	Prince Edward Island	Atlantic	Consumer,
1212,88719131	Brian Moss	Saskachewan	Prarie	Corporate,
1213,90358264	Michael Kennedy	Ontario	Ontario	Corporate,
1214,68444699	Jim Karlsson	Ontario	Ontario	Small Business,
1215,34402979	Denise Monton	Manitoba	Prarie	Home Office,
1216,14331565	Doug O'Connell	Ontario	Ontario	Small Business,
1217,97244956	Doug Bickford	Prince Edward Island	Atlantic	Corporate,
1218,32444392	Helen Andreada	Yukon	Yukon	Corporate,
1219,22237665	Bill Shonely	Nova Scotia	Atlantic	Small Business,
1220,52914743	Cari Schnelling	Northwest Territories	Northwest Territories	Small Business,
1221,29962626	Chris Cortes	British Columbia	West	Consumer,
1222,13012156	Ken Heidel	Saskachewan	Prarie	Corporate,
1223,8881763	Noah Childs	Manitoba	Prarie	Home Office,
1224,39112993	Denny Ordway	British Columbia	West	Small Business,
1225,55332006	Katherine Murray	Ontario	Ontario	Home Office,
1226,64709810	Sanjit Engle	Manitoba	Prarie	Home Office,
1227,30320771	Janet Lee	Saskachewan	Prarie	Consumer,
1228,27896929	Sylvia Foulston	Quebec	Quebec	Corporate,
1229,56693633	Justin Hirsh	British Columbia	West	Consumer,
1230,19473719	Emily Burns	Nova Scotia	Atlantic	Home Office,
1231,32369615	Larry Blacks	Saskachewan	Prarie	Consumer,
1232,48678937	Stewart Carmichael	British Columbia	West	Corporate,
1233,76435482	David Flashing	Nova Scotia	Atlantic	Home Office,
1234,101407390	Paul Lucas	Quebec	Quebec	Corporate,
1235,8933378	Sylvia Foulston	Prince Edward Island	Atlantic	Corporate,
1236,30770816	John Stevenson	Quebec	Quebec	Small Business,
1237,8564207	Dan Campbell	Ontario	Ontario	Small Business,
1238,98224666	Aimee Bixby	New Brunswick	Atlantic	Home Office,
1239,12539879	Sarah Jordon	Manitoba	Prarie	Consumer,
1240,16724484	David Bremer	British Columbia	West	Corporate,
1241,10582134	Tracy Collins	Manitoba	Prarie	Corporate,
1242,87509764	Dorothy Badders	Prince Edward Island	Atlantic	Home Office,
1243,85163678	Rob Haberlin	Ontario	Ontario	Consumer,
1244,57930738	Giulietta Weimer	British Columbia	West	Home Office,
1245,41939918	Alejandro Savely	Ontario	Ontario	Corporate,
1246,48663618	Evan Bailliet	Manitoba	Prarie	Corporate,
1247,31711779	Pierre Wener	Nova Scotia	Atlantic	Home Office,
1248,21424768	Charles Sheldon	Manitoba	Prarie	Corporate,
1249,12263605	Gene McClure	Manitoba	Prarie	Home Office,
1250,82519801	Natalie Webber	Nova Scotia	Atlantic	Corporate,
1251,10166893	Benjamin Farhat	Yukon	Yukon	Home Office,
1252,77916927	Bill Eplett	Ontario	Ontario	Corporate,
1253,60748220	Sean Braxton	Manitoba	Prarie	Small Business,
1254,40300751	Dorris Love	Quebec	Quebec	Corporate,
1255,33158318	Tony Chapman	Ontario	Ontario	Consumer,
1256,74145267	Michelle Lonsdale	Northwest Territories	Northwest Territories	Corporate,
1257,19646967	Andy Reiter	Saskachewan	Prarie	Corporate,
1258,39335289	Dorothy Badders	Northwest Territories	Northwest Territories	Home Office,
1259,21255162	Greg Hansen	Ontario	Ontario	Home Office,
1260,89960282	Karen Ferguson	Quebec	Quebec	Home Office,
1261,76333349	Theresa Swint	Manitoba	Prarie	Small Business,
1262,38640449	Chuck Magee	Saskachewan	Prarie	Corporate,
1263,48835684	Bobby Elias	Quebec	Quebec	Small Business,
1264,66362746	Anthony O'Donnell	British Columbia	West	Corporate,
1265,107356343	Muhammed Lee	British Columbia	West	Consumer,
1266,21613461	Julie Kriz	Quebec	Quebec	Corporate,
1267,90155791	Tony Chapman	Nova Scotia	Atlantic	Consumer,
1268,29599945	Hunter Lopez	Nova Scotia	Atlantic	Consumer,
1269,96589436	Shaun Weien	Nova Scotia	Atlantic	Home Office,
1270,13856521	Noel Staavos	British Columbia	West	Home Office,
1271,56607056	Tracy Hopkins	Yukon	Yukon	Small Business,
1272,16438527	Rob Beeghly	Ontario	Ontario	Consumer,
1273,64891803	Amy Cox	Nova Scotia	Atlantic	Small Business,
1274,98104164	Rick Wilson	Alberta	West	Consumer,
1275,24754584	Alyssa Tate	British Columbia	West	Small Business,
1276,47754470	Aaron Hawkins	Ontario	Ontario	Home Office,
1277,71683979	Steve Carroll	British Columbia	West	Consumer,
1278,8347794	Lisa Ryan	Alberta	West	Home Office,
1279,10056208	Khloe Miller	Nova Scotia	Atlantic	Consumer,
1280,43506335	Sung Chung	Alberta	West	Home Office,
1281,65989311	Jack Garza	Nunavut	Nunavut	Corporate,
1282,50274012	Eric Barreto	Nova Scotia	Atlantic	Small Business,
1283,36409723	Troy Staebel	Nova Scotia	Atlantic	Small Business,
1284,59879672	Jim Radford	Nunavut	Nunavut	Corporate,
1285,34211408	Joy Smith	Prince Edward Island	Atlantic	Consumer,
1286,54861644	Yana Sorensen	Newfoundland	Atlantic	Corporate,
1287,40923657	Bruce Stewart	Ontario	Ontario	Corporate,
1288,87328286	Angele Hood	British Columbia	West	Consumer,
1289,82724306	Muhammed Lee	Nova Scotia	Atlantic	Consumer,
1290,93780882	Ionia McGrath	Saskachewan	Prarie	Small Business,
1291,15814455	Toby Grace	Saskachewan	Prarie	Home Office,
1292,53272704	Mike Kennedy	Manitoba	Prarie	Small Business,
1293,51326221	Marc Crier	Manitoba	Prarie	Consumer,
1294,64934778	Paul Gonzalez	Prince Edward Island	Atlantic	Corporate,
1295,67374454	Logan Haushalter	Prince Edward Island	Atlantic	Corporate,
1296,5417421	Doug Bickford	Northwest Territories	Northwest Territories	Small Business,
1297,33483588	Ken Lonsdale	Manitoba	Prarie	Consumer,
1298,47416847	Frank Gastineau	Saskachewan	Prarie	Small Business,
1299,100390992	Dianna Wilson	Quebec	Quebec	Small Business,
1300,7424686	Ionia McGrath	Saskachewan	Prarie	Home Office,
1301,24718220	Steven Ward	Manitoba	Prarie	Consumer,
1302,39591257	Craig Carroll	Alberta	West	Small Business,
1303,15408772	Stefania Perrino	Nova Scotia	Atlantic	Corporate,
1304,19237970	Carlos Soltero	Northwest Territories	Northwest Territories	Consumer,
1305,60200887	Joy Smith	Prince Edward Island	Atlantic	Corporate,
1306,88445957	Annie Thurman	Ontario	Ontario	Consumer,
1307,23852786	Noah Childs	Prince Edward Island	Atlantic	Home Office,
1308,81882214	Eugene Barchas	Northwest Territories	Northwest Territories	Home Office,
1309,71252044	Nathan Mautz	Manitoba	Prarie	Home Office,
1310,96643883	Barry Franz	Newfoundland	Atlantic	Corporate,
1311,8905627	Muhammed Yedwab	Nova Scotia	Atlantic	Consumer,
1312,10565428	Erica Hackney	Alberta	West	Small Business,
1313,61582442	Liz Thompson	Ontario	Ontario	Corporate,
1314,65429002	David Kendrick	British Columbia	West	Home Office,
1315,97894366	Bart Pistole	Quebec	Quebec	Home Office,
1316,69566389	Daniel Raglin	Ontario	Ontario	Corporate,
1317,73163398	Eric Barreto	Newfoundland	Atlantic	Consumer,
1318,67879495	Julia Barnett	Quebec	Quebec	Corporate,
1319,60048038	George Zrebassa	Nova Scotia	Atlantic	Small Business,
1320,77096796	Carlos Meador	Quebec	Quebec	Consumer,
1321,67946772	Jack O'Briant	Nova Scotia	Atlantic	Consumer,
1322,71428407	Benjamin Venier	Quebec	Quebec	Small Business,
1323,30509837	Jennifer Ferguson	Quebec	Quebec	Home Office,
1324,10820132	Dave Brooks	Manitoba	Prarie	Corporate,
1325,81245085	Ann Blume	Nova Scotia	Atlantic	Corporate,
1326,51963363	Michelle Lonsdale	Prince Edward Island	Atlantic	Corporate,
1327,89851873	John Murray	British Columbia	West	Small Business,
